"year","sex","road_user","Sum(hospitalisations)","Sum(cases)","Sum(bed_days)","Sum(died_cases)"
2015,"Male","Car driver",6126,6180,32950,54
2015,"Male","Car passenger",1882,1896,9125,14
2015,"Male","Car unknown position",392,396,2403,4
2015,"Male","Heavy transport driver",429,429,2355,0
2015,"Male","Heavy transport passenger",33,33,230,0
2015,"Male","Heavy transport unknown position",22,23,188,1
2015,"Male","Motorcyclist",7322,7361,40372,39
2015,"Male","Other or unknown",315,317,1673,2
2015,"Male","Pedal cyclist",5209,5219,14897,10
2015,"Male","Pedestrian",1410,1444,11561,34
2015,"Male","Pick-up truck or van occupant",195,195,1162,0
2015,"intersex or indeterminate or missing","Car passenger",1,1,1,0
2016,"Female","Bus occupant",163,164,1034,1
2016,"Female","Car driver",6324,6351,28940,27
2016,"Female","Car passenger",2897,2917,14479,20
2016,"Female","Car unknown position",380,382,2207,2
2016,"Female","Heavy transport driver",8,8,25,0
2016,"Female","Heavy transport passenger",13,13,131,0
2016,"Female","Heavy transport unknown position",2,2,2,0
2016,"Female","Motorcyclist",887,887,5903,0
2016,"Female","Other or unknown",236,236,1470,0
2016,"Female","Pedal cyclist",1475,1476,4080,1
2016,"Female","Pedestrian",1187,1209,13191,22
2016,"Female","Pick-up truck or van occupant",58,58,384,0
2016,"Male","Bus occupant",105,110,801,5
2016,"Male","Car driver",6662,6722,39852,60
2016,"Male","Car passenger",1992,2007,11003,15
2016,"Male","Car unknown position",405,412,2832,7
2016,"Male","Heavy transport driver",390,393,3177,3
2016,"Male","Heavy transport passenger",29,29,142,0
2016,"Male","Heavy transport unknown position",36,36,339,0
2016,"Male","Motorcyclist",7533,7569,46800,36
2016,"Male","Other or unknown",369,371,2495,2
2016,"Male","Pedal cyclist",5290,5304,16281,14
2016,"Male","Pedestrian",1476,1519,16578,43
2016,"Male","Pick-up truck or van occupant",233,233,1838,0
2017,"Female","Bus occupant",167,169,840,2
2017,"Female","Car driver",6320,6339,26295,19
2017,"Female","Car passenger",3040,3056,15039,16
2017,"Female","Car unknown position",382,383,3310,1
2017,"Female","Heavy transport driver",11,11,60,0
2017,"Female","Heavy transport passenger",21,21,117,0
2017,"Female","Heavy transport unknown position",1,1,5,0
2017,"Female","Motorcyclist",849,850,4594,1
2017,"Female","Other or unknown",218,218,1880,0
2017,"Female","Pedal cyclist",1455,1458,4134,3
2017,"Female","Pedestrian",1174,1189,13479,15
2017,"Female","Pick-up truck or van occupant",59,59,216,0
2017,"Male","Bus occupant",87,89,661,2
2017,"Male","Car driver",6704,6746,36485,42
2017,"Male","Car passenger",1829,1841,8628,12
2017,"Male","Car unknown position",383,385,3142,2
2017,"Male","Heavy transport driver",428,431,2618,3
2017,"Male","Heavy transport passenger",27,27,126,0
2017,"Male","Heavy transport unknown position",30,30,96,0
2017,"Male","Motorcyclist",7738,7760,47359,22
2017,"Male","Other or unknown",373,375,2202,2
2017,"Male","Pedal cyclist",5438,5444,17014,6
2017,"Male","Pedestrian",1435,1474,17743,39
2017,"Male","Pick-up truck or van occupant",202,203,1581,1
2018,"Female","Bus occupant",137,138,947,1
2018,"Female","Car driver",6548,6559,26482,11
2018,"Female","Car passenger",3005,3027,15643,22
2018,"Female","Car unknown position",407,408,3318,1
2018,"Female","Heavy transport driver",14,14,101,0
2018,"Female","Heavy transport passenger",16,16,24,0
2018,"Female","Heavy transport unknown position",5,6,21,1
2018,"Female","Motorcyclist",862,865,5053,3
2018,"Female","Other or unknown",228,229,2362,1
2018,"Female","Pedal cyclist",1456,1458,3814,2
2018,"Female","Pedestrian",1131,1144,11550,13
2018,"Female","Pick-up truck or van occupant",49,49,271,0
2018,"Male","Bus occupant",95,95,511,0
2018,"Male","Car driver",6804,6845,36052,41
2018,"Male","Car passenger",1976,1987,10070,11
2018,"Male","Car unknown position",439,440,4068,1
2018,"Male","Heavy transport driver",418,421,2632,3
2018,"Male","Heavy transport passenger",50,50,175,0
2018,"Male","Heavy transport unknown position",40,40,592,0
2018,"Male","Motorcyclist",7585,7610,45361,25
2018,"Male","Other or unknown",366,368,2009,2
2018,"Male","Pedal cyclist",5312,5324,16539,12
2018,"Male","Pedestrian",1414,1451,14219,37
2018,"Male","Pick-up truck or van occupant",218,219,1498,1
